READDI ID,Compound Name from Primary Screen (384),TimTech ID,Reorder 96-well Position,TT 384 Custom LDV Position,Brutto Formula,IUPAC NAME,SMILES,Primary SARS2  FRET Screen (10uM) Avg % of DMSO,Reorder SARS2 FRET Screen (10uM) Ave % of DMSO,Reorder SARS2 IC50 Curve FRET (10uM) Avg % of DMSO,Estimated IC50 (From 4 Point Curve),SARS2 NSP Complex FRET (10 uM) Average %,NSP15 FRET (10uM) Average % DMSO,SARS1 FRET (10uM) Average % DMSO,OC43 FRET (10uM) Average % DMSO,MERS FRET (10uM) Average % DMSO,229E FRET (10uM) Average % DMSO,MHV FRET (10uM) Average % DMSO,A549 CTG Toxicity (20uM) % DMSO,A549 CTG Toxicity Repeat (10uM) % DMSO,SARS-CoV-2 A549 (10uM) Low MOI %Virus,SARS-CoV-2 A549 (10uM) Low MOI %Cells,OC43 A549 (10uM) Low MOI %Virus,OC43 A549 (10uM) Low MOI %Cells,OC43 A549 (25 uM) Low MOI %Virus,OC43 A549 (25 uM) LOW MOI %Cells,OC43 A549 (10uM) High MOI %Virus,OC43 A549 (10uM) High MOI %Cells
RA-0020108-01,136-M20,ST085716,P1-G2,M3,C22H15N3O2,"(2Z)-3-[5-(4-acetylphenyl)furan-2-yl]-2-(1H-1,3-benzodiazol-2-yl)prop-2-enenitrile",CC(C1=CC=C(C(O2)=CC=C2C=C(C(N3)=NC4=C3C=CC=C4)C#N)C=C1)=O,56.7,33.9,64.5,Undefined,79.7,86.4,68.4,25.6,39.5,89.7,45,81.2,114.4,178.2,37.3,63.6,66.7,126.5,37.6,72.4,59.6
RA-0020109-01,49-F21,ST080856,P1-H9,O17,C13H6ClF2N3,"13-chloro-4,5-difluoro-11-methyl-1,8-diazatricyclo[7.4.0.0²,⁷]trideca-2,4,6,8,10,12-hexaene-10-carbonitrile",CC1=C(C#N)C2=NC(C=C(C(F)=C3)F)=C3N2C(Cl)=C1,61.5,35.4,48,2.68,66.4,88.4,66,54.1,34.7,29.9,73.9,65.8,76.9,76,51.5,77.9,41.1,79.3,9.4,143.9,35.6
RA-0020110-01,122-C11,R162809,P1-C3,E5,C10H8Cl2N2O2,"2,5-diaziridinyl-3,6-dichlorocyclohexa-2,5-diene-1,4-dione",O=C1C(N2CC2)=C(C(C(N3CC3)=C1Cl)=O)Cl,30.3,35.6,27.1,Undefined,78.7,18.8,39.8,15,34.5,5.5,18.1,86.1,108.7,37,55.3,62.7,72.6,44.2,20.9,98.1,85.6
RA-0020111-01,130-J6,S511129,P1-E10,I19,C6H6N4O2,"3-amino-1H-pyrazolo[4,3-c]pyridine-4,6-diol",NC1=NNC2=C1C(O)=NC(O)=C2,50.8,35.6,48,2.995,76.7,42,76.1,55.5,41.8,38.6,75.9,84.2,111.2,94,121.4,73.3,123.4,110.2,136.4,86.3,112.2
RA-0020112-01,64-G05,ST025603,P1-E6,I11,C12H9Cl2NO2,"3,4-dichloro-1-(2,3-dimethylphenyl)-2,5-dihydro-1H-pyrrole-2,5-dione",O=C(N1C2=CC=CC(C)=C2C)C(Cl)=C(C1=O)Cl,49.5,37.3,31.2,10.57,64.9,76,42.1,41.8,36.1,7.9,52.4,90.9,122.1,94.7,138.5,80.5,106.5,93.1,131.7,95.1,110.7
RA-0020113-01,160-A7,ST105528,P2-D11,G22,C13H14O3,"4-hydroxy-5-methyl-8-(propan-2-yl)-2H-chromen-2-one
",CC(C)C1=C2OC(=O)C=C(O)C2=C(C)C=C1,41.1,38.9,20.6,Undefined,82.6,94.7,90.2,86.1,43.2,82.1,73.5,81.9,102.7,115.5,109.6,92.4,103.9,176.3,171.9,95.1,92.3
RA-0020114-01,35-L13,ST50652791,P1-G10,M19,C17H13Cl2N5OS2,2-[(3-chlorophenyl)carbamothioyl]-2-{[(3-chlorophenyl)carbamothioyl]amino}-2-cyanoacetamide,O=C(C(C(NC1=CC=CC(Cl)=C1)=S)(C#N)NC(NC2=CC=CC(Cl)=C2)=S)N,58.4,39.9,62.3,Undefined,70.3,94.4,54.1,66.9,71.3,74,55.8,90.6,88.4,26.4,88.4,67.4,85.6,44.3,74.1,69.9,83.7
RA-0020115-01,106-F16,ST042187,P1-B1,C1,C13H13NO3,"4-(2,5-dimethyl-1H-pyrrol-1-yl)-2-hydroxybenzoic acid",CC(N1C2=CC(O)=C(C(O)=O)C=C2)=CC=C1C,12,40,61.3,Undefined,76.7,85.2,55.4,47.4,36.4,40.4,39.7,72.4,97.4,43,69.7,62.5,60.2,81.1,85.8,97.7,104.1
RA-0020116-01,137-B19,ST088423,P2-B10,C20,C19H16ClNO5,"2-chloro-3-[(3,4,5-trimethoxyphenyl)amino]-1,4-dihydronaphthalene-1,4-dione",COC1=C(OC)C(=CC(=C1)NC2=C(Cl)C(=O)C3=CC=CC=C3C2=O)OC,65.7,40.1,51.7,Undefined,64.9,87.9,73.9,33.1,37.2,8.3,51.8,57.4,79.9,95.5,98.5,57.2,62.3,244.4,0.5,78.7,87.5
RA-0020117-01,67-L20,ST030726,P1-E11,I21,C17H19ClN2O,{[4-(tert-butyl)phenyl]amino}-N-(3-chlorophenyl)carboxamide,CC(C1=CC=C(C=C1)NC(NC2=CC(Cl)=CC=C2)=O)(C)C,50.8,40.7,55.2,Undefined,52.5,89.5,45.1,57.9,77.9,52.7,52.2,73.8,89.2,23.6,66.6,56.1,129.9,30.1,27.9,50,91.2
