Compound Name (384),TimTech ID,Custom TT 96 Position,TT 384 Custom LDV Position,Primary FRET Screen Avg %,Reorder FRET Screen (10uM) Average %,IC50 Curve FRET (10uM) Avg %,NSP15 FRET (10uM) Average % ,SARS FRET (10uM) Average %,OC43 FRET (10uM) Average %,MERS FRET (10uM) Average %,229E FRET (10uM) Average %,MHV FRET (10uM) Average %,A549 CTG Toxicity (20uM) % DMSO,A549 CTG Toxicity Repeat (10uM) % DMSO,OC43 A549 (10uM) Low MOI %Virus,OC43 A549 (10uM) Low MOI %Cells,OC43 A549 (10uM) High MOI %Virus,OC43 A549 (10uM) High MOI %Cells,SARS-CoV-2 A549 (10uM) Low MOI %Virus,SARS-CoV-2 A549 (10uM) Low MOI %Cells,Estimated IC50 (From 4 Point Curve)
87-G6,ST056991,P1-A11,A21,9.8,78.6,87.0,96.5,89.1,80.0,60.1,83.2,91.7,71.0,92.9,81.2,145.4,86.7,110.2,99.8,121.0,
144-L6,ST097120,P2-D2,G4,40.1,79.1,89.8,103.4,79.2,88.1,69.7,97.7,74.2,98.5,86.4,60.0,103.2,109.9,111.3,73.6,113.0,
153-D20,ST102907,P2-D5,G10,33.1,79.5,70.6,18.2,80.7,28.1,42.5,32.6,61.6,50.7,72.6,8.9,76.2,30.2,56.6,9.0,56.7,
89-N11,ST059349,P1-D9,G17,45.4,81.0,74.2,94.2,75.3,86.1,88.5,86.3,75.3,86.1,99.2,86.6,116.7,106.2,118.3,84.9,127.0,
145-I15,ST097261,P2-D3,G6,51.4,81.5,90.7,89.8,65.9,95.3,95.6,85.3,72.7,101.4,71.2,103.8,103.7,191.4,88.3,62.2,101.7,
110-C5,R579785,P2-E3,I6,64.2,82.5,70.3,89.3,77.9,84.6,53.0,84.0,78.3,116.5,91.1,93.0,95.9,111.0,80.8,105.6,111.2,
108-A9,R427551,P1-C12,E23,40.2,82.8,88.8,92.0,93.2,66.7,67.4,93.8,88.6,71.5,107.4,68.2,104.4,50.9,53.7,85.0,88.1,
99-O5,ST073700,P1-H2,O3,59.4,83.5,90.2,87.2,73.6,97.7,85.3,95.2,71.0,87.4,79.0,88.8,105.4,127.9,90.1,134.5,127.9,
46-J05,ST076927,P2-B5,C10,63.6,85.8,80.8,94.5,88.7,81.7,73.1,92.0,81.8,90.5,79.4,115.9,118.1,132.1,126.9,143.2,117.7,
12-K4,ST073566,P1-H11,O21,61.5,87.2,101.9,94.2,87.2,97.3,87.8,99.0,80.6,95.9,99.3,91.1,126.4,91.0,92.6,136.3,111.8,
4-G7,ST037201,P1-F5,K9,55.5,87.7,71.9,96.4,83.9,106.3,70.7,93.6,86.0,100.8,116.9,90.8,130.8,95.6,102.5,88.4,129.7,
